latitude,longitude,date,flag,title,place_name,place_url,time_string,signup_url
40.57306,-105.08476,2016-11-14,us,#100mapathons CSU Mapathon for Mongolia,"Morgan Library, Computer Lab 173, Fort Collins, CO, United States",http://www.openstreetmap.org/relation/3080945,17:00-19:00,http://www.meetup.com/OSM-Colorado/events/235419601/
28.1846,83.9731,2016-11-14,np,#100mapathons 2C in Action Workshop,"Temple Tree Resort and Spa, Pokhara, Nepal",http://www.openstreetmap.org/?mlat=28.205877989530563&mlon=83.96354645490646#map=14/28.1846/83.9731,9:00-17:00,
0.34937,32.6287,2016-11-14,ug,#100mapathons Kyambogo University Mapathon,"Kyambogo University, Kampala, Uganda",http://www.openstreetmap.org/?mlat=0.34937&mlon=32.62870#map=17/0.34937/32.62870,10:00-14:00,
40.13857,-105.12809,2016-11-15,us,#100mapathons Front Range Community College Humanitarian Mapathon,Common Area of the Classroom Building of FRCC,http://www.openstreetmap.org/way/365355011,17:00-19:00,http://www.meetup.com/OSM-Colorado/events/234696760/
51.51315,-0.13359,2016-11-15,gb,#100mapathons Missing Maps London Mid-Month Advanced Mapathon,"Thoughtworks, London, United Kingdom",http://www.openstreetmap.org/#map=19/51.51315/-0.13359,18:00-21:00,https://www.eventbrite.co.uk/e/missing-maps-london-november-mid-month-mapping-party-tickets-28890484216
38.89487,-77.04173,2016-11-15,us,#100mapathons Lunch and Learn with OSM Institutions,"American Red Cross National Headquarters, Washington DC, United States",https://www.openstreetmap.org/way/65780859,11:30-14:00,
44.48767,11.32917,2016-11-15,it,#100mapathons University of Bologna DICAM Department - OpenStreetMap Geography Awareness Week Mapathon,"Aula Magna at the School of Engineering and Architecture, University of Bologna, Bologna, Italy",http://www.openstreetmap.org/node/1638063755,11:00-14:00,https://goo.gl/forms/59mhBInG1UMkqp9e2
-15.3581,28.3291,2016-11-15,zm,#100mapathons OSM Zambia Mapathon,"Lusaka, Lusaka, Zambia",http://www.openstreetmap.org/way/22503172#map=13/-15.3581/28.3291,8:00-17:00,n/a
44.0421,-121.31505,2016-11-15,us,#100mapathons MapTime Bend,"Bend Memorial Clinic-Oldmill, Bend, United States",http://osm.org/go/TdbOjyVzA?m=,18:00-20:00,n/a
43.10478,-77.6133,2016-11-15,us,#100mapathons Monroe Community College YouthMappers ,"Monroe Community College, Rochester, United States",http://www.openstreetmap.org/way/20119916,18:00-20:00,n/a
50.8419,4.32299,2016-11-15,be,#100mapathons EGEA Brussels | Geography Student Union (BAK) Mapathon,"Vrije Universiteit Brussel , Brussels, Belgium",http://www.openstreetmap.org/way/313486960,17:00-21:00,https://www.facebook.com/events/1713502142310254/
41.37778,-83.64061,2016-11-15,us,#100mapathons Anime In Northwest Ohio,"Bowen-Thompson Student Union, Bowling Green, United States",https://www.openstreetmap.org/way/182401910#map=18/41.37778/-83.64061,17:00-19:30,https://orgsync.com/10276/events/1687974/occurrences/3918798
42.2525,-71.8226,2016-11-15,us,#100mapathons Clark Mappers,"JC, Worcester, MA, United States",http://www.openstreetmap.org/export#map=12/42.2525/-71.8226,06:00-07:10,https://www.facebook.com/events/883728308429686/
40.13876,-105.12818,2016-11-15,us,#100mapathons FRCC Humanitarian Mapathon,"BCC Classroom Building, Longmont, United States",http://www.openstreetmap.org/way/365355011,17:00-19:00,http://www.meetup.com/OSM-Colorado/events/234696760/
3.3742,-76.5333,2016-11-15,co,#100mapathon Universidad del Valle Mapathon,"Universidad del Valle, Cali, Colombia",https://www.openstreetmap.org/search?query=Universidad%20del%20Valle#map=16/3.3742/-76.5333,00:00-00:00,
34.07487,-118.44141,2016-11-16,us,#100mapathons Missing Maps UCLA,"Young Research Library, Los Angeles, United States",http://www.openstreetmap.org/#map=19/34.07487/-118.44141,12:30-15:00,https://sandbox.idre.ucla.edu/gisday/rsvp/
-8.65335,115.12631,2016-11-16,id,#100mapathons Map for Environment Mapathon,"Dojo, Bali, Indonesia",https://www.openstreetmap.org/way/373170506,18:00-21:00,
34.4143,-119.8597,2016-11-16,us,#100mapathons GIS Day @ UCSB,"Star lab, Ellison Hall, UCSB, Santa Barbara, United States",http://www.openstreetmap.org/relation/3847743,13:00-16:00,https://www.facebook.com/events/1164297003665320/
38.9837,-76.94366,2016-11-16,us,#100mapathons University of Maryland GIS Day Humanitarian OpenStreetMap Mapathon,"Lefrak Hall, College Park, United States",https://www.openstreetmap.org/way/314901003#map=19/38.98370/-76.94366,9:00-15:00,n/a
45.483,9.2314,2016-11-16,it,#100mapathons Politecnico di Milano || YouthMappers Mapathon,"Politecnico di Milano, Milan, Italy",http://www.openstreetmap.org/search?query=Politecnico%20di%20Milano%20#map=15/45.4830/9.2314,00:00-00:00,n/a
51.50619,-0.12742,2016-11-16,gb,#100mapathons DFID Mapathon London,"London, United Kingdom",http://www.openstreetmap.org/node/3340681799#map=19/51.50619/-0.12742,00:00-00:00,n/a
55.76073,-4.22449,2016-11-16,gb,#100mapathons DFID Mapathon East Kilbride,"East Kilbrid, United Kingdom",http://www.openstreetmap.org/node/3899778519#map=17/55.76073/-4.22449,00:00-00:00,n/a
34.67666,-82.83633,2016-11-16,us,#100mapathons Clemson Mappers || YouthMappers Mapathon,"Clemson Center for Geospatial Technologies, Clemson, United States",http://www.openstreetmap.org/way/5583159#map=19/34.67666/-82.83633,12:00-13:00,http://www.clemsongis.org/gis-day-2016
45.95995,5.35645,2016-11-16,fr,#100mapathons Missing Maps Ambérieu SSI,"MJC Ambérieu Maison pour Tous, Ambérieu-en-Bugey, France",http://www.openstreetmap.org/way/67076754,18:30-22:00,https://www.eventbrite.fr/e/billets-missing-maps-amberieu-semaine-de-la-solidarite-internationale-28908148049
50.7369,-3.5377,2016-11-16,gb,#100mapathons University of Exeter Mapathon,"University of Exeter: Forum Exploration Lab 1, Exeter, United Kingdom",http://www.openstreetmap.org/way/19989374,18:00-20:00,https://www.facebook.com/events/1164865066940659/?notif_t=plan_user_joined&notif_id=1478274689373242
54.58533,-5.93877,2016-11-16,gb,#100mapathons GIS Day 2016 @ QUB - Presented by QUB & AGI & The Missing Maps Project & LPS,"QUB - School of Natural and Built Environment, Belfast, United Kingdom",https://www.openstreetmap.org/#map=19/54.58533/-5.93877,12:00-14:00,https://www.eventbrite.co.uk/e/gis-day-2016-qub-presented-by-qub-agi-the-missing-maps-project-lps-tickets-28575634492?aff=es2
41.40366,2.19344,2016-11-16,es,#100mapathons UPF - MSF Spain,"UPF, Barcelona, Spain",http://www.openstreetmap.org/?mlat=41.40365794301033&mlon=2.193440794944763#map=19/41.40366/2.19344,18:00-21:00,https://www.eventbrite.es/e/entradas-msf-missing-maps-mapaton-28690559235
